"Date_Published","UID","iso2","iso3","code3","FIPS","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","Testing_Rate","Hospitalization_Rate","Population"
"11-28-2020",84000039,"US","USA",840,"39","Ohio","United States",2020-11-29 05:30:26,40.3888,-82.7649,406703,8559,261353,136791,3479.3354492647,NA,NA,NA,51575.4762984319,NA,11689100
"11-28-2020",84000040,"US","USA",840,"40","Oklahoma","United States",2020-11-29 05:30:26,35.5653,-96.9289,193824,1717,159894,32213,4898.29215326572,NA,NA,NA,52244.3050505045,NA,3956971
"11-28-2020",84000041,"US","USA",840,"41","Oregon","United States",2020-11-29 05:30:26,44.572,-122.0709,72506,896,5870,65740,1719.0735221281,NA,NA,NA,24495.3632718209,NA,4217737
"11-28-2020",84000042,"US","USA",840,"42","Pennsylvania","United States",2020-11-29 05:30:26,40.5908,-77.2098,355945,10234,214516,131195,2780.38826622957,NA,NA,NA,24653.4425236578,NA,12801989
"11-28-2020",630,"PR","PRI",630,"72","Puerto Rico","United States",2020-11-29 05:30:26,18.2208,-66.5901,51581,1083,42589,7909,1615.08898473053,NA,NA,NA,11195.5935665721,NA,3193694
"11-28-2020",84000044,"US","USA",840,"44","Rhode Island","United States",2020-11-29 05:30:26,41.6809,-71.5118,53954,1399,3619,48936,5093.07025650369,NA,NA,NA,143390.307930913,NA,1059361
"11-28-2020",84000045,"US","USA",840,"45","South Carolina","United States",2020-11-29 05:30:26,33.8569,-80.945,214911,4346,112978,97587,4174.07142832171,NA,NA,NA,46035.4371984927,NA,5148714
"11-28-2020",84000046,"US","USA",840,"46","South Dakota","United States",2020-11-29 05:30:26,44.2998,-99.4388,79099,942,61051,17106,8941.18524764909,NA,NA,NA,36779.8213775025,NA,884659
"11-28-2020",84000047,"US","USA",840,"47","Tennessee","United States",2020-11-29 05:30:26,35.7478,-86.6923,363466,4541,323376,35549,5322.25419940977,NA,NA,NA,65459.175589903,NA,6829174
"11-28-2020",84000048,"US","USA",840,"48","Texas","United States",2020-11-29 05:30:26,31.0545,-97.5635,1267016,22130,950586,294300,4185.34273885315,NA,NA,NA,36684.0000481448,NA,28995881
"11-28-2020",84000049,"US","USA",840,"49","Utah","United States",2020-11-29 05:30:26,40.15,-111.8624,192087,863,129652,61572,5991.56320825164,NA,NA,NA,56397.6508737794,NA,3205958
"11-28-2020",84000050,"US","USA",840,"50","Vermont","United States",2020-11-29 05:30:26,44.0459,-72.7107,4033,67,2474,1492,646.325496122528,NA,NA,NA,87740.649274266,NA,623989
"11-28-2020",850,"VI","VIR",850,"78","Virgin Islands","United States",2020-11-29 05:30:26,18.3358,-64.8963,1538,23,1453,62,1433.79199761345,NA,NA,NA,26356.4157064549,NA,107268
"11-28-2020",84000051,"US","USA",840,"51","Virginia","United States",2020-11-29 05:30:26,37.7693,-78.17,233617,4054,23957,205606,2736.9981837074,NA,NA,NA,38605.8305300474,NA,8535519
"11-28-2020",84000053,"US","USA",840,"53","Washington","United States",2020-11-29 05:30:26,47.4009,-121.4905,167231,2714,0,164517,2109.47153164201,NA,NA,NA,38009.2931049721,NA,7614893
"11-28-2020",84000054,"US","USA",840,"54","West Virginia","United States",2020-11-29 05:30:26,38.4912,-80.9545,45845,718,29396,15731,2558.1048876013,NA,NA,NA,62216.7154814867,NA,1792147
"11-28-2020",84000055,"US","USA",840,"55","Wisconsin","United States",2020-11-29 05:30:26,44.2685,-89.6165,404999,3464,306770,94765,6955.8366827344,NA,NA,NA,75107.5752855249,NA,5822434
"11-28-2020",84000056,"US","USA",840,"56","Wyoming","United States",2020-11-29 05:30:26,42.756,-107.3025,31928,215,22798,8915,5516.63127484843,NA,NA,NA,67968.8782377466,NA,578759
