"Date_Published","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key"
"02-13-2020",NA,NA,"Hubei","Mainland China",2020-02-13 14:13:06,NA,NA,48206,1310,3459,NA,NA
"02-13-2020",NA,NA,"Guangdong","Mainland China",2020-02-13 13:33:01,NA,NA,1241,2,314,NA,NA
"02-13-2020",NA,NA,"Henan","Mainland China",2020-02-13 14:53:02,NA,NA,1169,10,296,NA,NA
"02-13-2020",NA,NA,"Zhejiang","Mainland China",2020-02-13 14:13:06,NA,NA,1145,0,360,NA,NA
"02-13-2020",NA,NA,"Hunan","Mainland China",2020-02-13 11:53:02,NA,NA,968,2,339,NA,NA
"02-13-2020",NA,NA,"Anhui","Mainland China",2020-02-13 13:33:01,NA,NA,910,5,157,NA,NA
"02-13-2020",NA,NA,"Jiangxi","Mainland China",2020-02-13 01:13:08,NA,NA,872,1,170,NA,NA
"02-13-2020",NA,NA,"Jiangsu","Mainland China",2020-02-13 10:33:23,NA,NA,570,0,139,NA,NA
"02-13-2020",NA,NA,"Chongqing","Mainland China",2020-02-13 23:23:05,NA,NA,529,4,128,NA,NA
"02-13-2020",NA,NA,"Shandong","Mainland China",2020-02-13 13:33:01,NA,NA,509,2,105,NA,NA
"02-13-2020",NA,NA,"Sichuan","Mainland China",2020-02-13 13:33:01,NA,NA,451,1,104,NA,NA
"02-13-2020",NA,NA,"Heilongjiang","Mainland China",2020-02-13 12:13:06,NA,NA,395,9,33,NA,NA
"02-13-2020",NA,NA,"Beijing","Mainland China",2020-02-13 14:13:06,NA,NA,366,3,69,NA,NA
"02-13-2020",NA,NA,"Shanghai","Mainland China",2020-02-13 06:13:15,NA,NA,315,1,62,NA,NA
"02-13-2020",NA,NA,"Fujian","Mainland China",2020-02-13 10:33:23,NA,NA,279,0,57,NA,NA
"02-13-2020",NA,NA,"Hebei","Mainland China",2020-02-13 10:33:23,NA,NA,265,3,68,NA,NA
"02-13-2020",NA,NA,"Shaanxi","Mainland China",2020-02-13 10:33:23,NA,NA,229,0,46,NA,NA
"02-13-2020",NA,NA,"Guangxi","Mainland China",2020-02-13 00:23:10,NA,NA,222,2,33,NA,NA
"02-13-2020",NA,NA,"Diamond Princess cruise ship","Others",2020-02-12 04:23:38,NA,NA,175,0,0,NA,NA
"02-13-2020",NA,NA,"Hainan","Mainland China",2020-02-13 10:43:03,NA,NA,157,4,30,NA,NA
"02-13-2020",NA,NA,"Yunnan","Mainland China",2020-02-13 08:43:08,NA,NA,156,0,27,NA,NA
"02-13-2020",NA,NA,"Guizhou","Mainland China",2020-02-13 10:33:23,NA,NA,135,1,27,NA,NA
"02-13-2020",NA,NA,"Shanxi","Mainland China",2020-02-13 23:23:05,NA,NA,126,0,36,NA,NA
"02-13-2020",NA,NA,"Tianjin","Mainland China",2020-02-13 23:43:02,NA,NA,119,3,21,NA,NA
"02-13-2020",NA,NA,"Liaoning","Mainland China",2020-02-13 14:33:02,NA,NA,117,1,22,NA,NA
"02-13-2020",NA,NA,"Gansu","Mainland China",2020-02-13 15:53:03,NA,NA,90,2,39,NA,NA
"02-13-2020",NA,NA,"Jilin","Mainland China",2020-02-13 13:33:01,NA,NA,84,1,24,NA,NA
"02-13-2020",NA,NA,"Ningxia","Mainland China",2020-02-13 01:23:08,NA,NA,64,0,24,NA,NA
"02-13-2020",NA,NA,"Xinjiang","Mainland China",2020-02-13 10:33:23,NA,NA,63,1,6,NA,NA
"02-13-2020",NA,NA,"Inner Mongolia","Mainland China",2020-02-13 01:23:08,NA,NA,61,0,6,NA,NA
"02-13-2020",NA,NA,NA,"Singapore",2020-02-13 14:33:02,NA,NA,58,0,15,NA,NA
"02-13-2020",NA,NA,"Hong Kong","Hong Kong",2020-02-13 14:53:02,NA,NA,53,1,1,NA,NA
"02-13-2020",NA,NA,NA,"Thailand",2020-02-13 17:53:03,NA,NA,33,0,12,NA,NA
"02-13-2020",NA,NA,NA,"Japan",2020-02-13 12:23:05,NA,NA,28,1,9,NA,NA
"02-13-2020",NA,NA,NA,"South Korea",2020-02-12 14:43:03,NA,NA,28,0,7,NA,NA
"02-13-2020",NA,NA,NA,"Malaysia",2020-02-13 10:53:02,NA,NA,19,0,3,NA,NA
"02-13-2020",NA,NA,"Qinghai","Mainland China",2020-02-13 08:43:08,NA,NA,18,0,11,NA,NA
"02-13-2020",NA,NA,"Taiwan","Taiwan",2020-02-09 09:13:11,NA,NA,18,0,1,NA,NA
"02-13-2020",NA,NA,NA,"Germany",2020-02-13 15:13:11,NA,NA,16,0,1,NA,NA
"02-13-2020",NA,NA,NA,"Vietnam",2020-02-13 06:33:02,NA,NA,16,0,7,NA,NA
"02-13-2020",NA,NA,NA,"France",2020-02-12 18:53:02,NA,NA,11,0,2,NA,NA
"02-13-2020",NA,NA,"Macau","Macau",2020-02-13 14:13:06,NA,NA,10,0,3,NA,NA
"02-13-2020",NA,NA,NA,"UK",2020-02-12 19:03:06,NA,NA,9,0,1,NA,NA
"02-13-2020",NA,NA,NA,"United Arab Emirates",2020-02-12 00:33:02,NA,NA,8,0,1,NA,NA
"02-13-2020",NA,NA,"Queensland","Australia",2020-02-09 19:33:02,NA,NA,5,0,0,NA,NA
"02-13-2020",NA,NA,"New South Wales","Australia",2020-02-13 17:53:03,NA,NA,4,0,4,NA,NA
"02-13-2020",NA,NA,"Victoria","Australia",2020-02-13 17:53:03,NA,NA,4,0,4,NA,NA
"02-13-2020",NA,NA,"British Columbia","Canada",2020-02-07 05:43:03,NA,NA,4,0,0,NA,NA
"02-13-2020",NA,NA,NA,"India",2020-02-13 18:53:02,NA,NA,3,0,0,NA,NA
"02-13-2020",NA,NA,NA,"Italy",2020-02-07 17:53:02,NA,NA,3,0,0,NA,NA
"02-13-2020",NA,NA,NA,"Philippines",2020-02-12 07:43:02,NA,NA,3,1,1,NA,NA
"02-13-2020",NA,NA,"South Australia","Australia",2020-02-02 22:33:07,NA,NA,2,0,0,NA,NA
