"Date_Published","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key"
"03-09-2020",NA,NA,"Hubei","China",2020-03-09 14:33:03,30.9756,112.2707,67743,3008,46488,18247,"Hubei, China"
"03-09-2020",NA,NA,NA,"Italy",2020-03-09 18:13:11,41.87194,12.56738,9172,463,724,7985,"Italy"
"03-09-2020",NA,NA,NA,"South Korea",2020-03-09 09:03:03,35.907757,127.766922,7478,53,118,7307,"South Korea"
"03-09-2020",NA,NA,NA,"Iran",2020-03-09 10:53:03,32.427908,53.688046,7161,237,2394,4530,"Iran"
"03-09-2020",NA,NA,"Guangdong","China",2020-03-09 01:43:01,23.3417,113.4244,1352,8,1260,84,"Guangdong, China"
"03-09-2020",NA,NA,"Henan","China",2020-03-08 05:03:02,33.882,113.614,1272,22,1247,3,"Henan, China"
"03-09-2020",NA,NA,"Zhejiang","China",2020-03-09 09:43:03,29.1832,120.0934,1215,1,1176,38,"Zhejiang, China"
"03-09-2020",NA,NA,NA,"France",2020-03-09 00:43:03,46.2276,2.2137,1209,19,12,1178,"France"
"03-09-2020",NA,NA,NA,"Germany",2020-03-09 18:13:11,51.165691,10.451526,1176,2,18,1156,"Germany"
"03-09-2020",NA,NA,NA,"Spain",2020-03-09 18:13:11,40.463667,-3.74922,1073,28,32,1013,"Spain"
"03-09-2020",NA,NA,"Hunan","China",2020-03-09 01:33:06,27.6104,111.7088,1018,4,979,35,"Hunan, China"
"03-09-2020",NA,NA,"Anhui","China",2020-03-08 05:13:06,31.8257,117.2264,990,6,984,0,"Anhui, China"
"03-09-2020",NA,NA,"Jiangxi","China",2020-03-09 01:53:01,27.614,115.7221,935,1,923,11,"Jiangxi, China"
"03-09-2020",NA,NA,"Shandong","China",2020-03-09 10:13:06,36.3427,118.1498,758,6,700,52,"Shandong, China"
"03-09-2020",NA,NA,"Diamond Princess cruise ship","Others",2020-03-06 01:29:39,NA,NA,696,6,40,650,"Diamond Princess cruise ship, Others"
"03-09-2020",NA,NA,"Jiangsu","China",2020-03-09 08:53:03,32.9711,119.455,631,0,621,10,"Jiangsu, China"
"03-09-2020",NA,NA,"Chongqing","China",2020-03-09 23:13:03,30.0572,107.874,576,6,542,28,"Chongqing, China"
"03-09-2020",NA,NA,"Sichuan","China",2020-03-09 08:53:03,30.6171,102.7103,539,3,466,70,"Sichuan, China"
"03-09-2020",NA,NA,NA,"Japan",2020-03-09 09:13:17,36.204824,138.252924,511,17,76,418,"Japan"
"03-09-2020",NA,NA,"Heilongjiang","China",2020-03-09 14:33:03,47.862,127.7615,481,13,430,38,"Heilongjiang, China"
"03-09-2020",NA,NA,"Beijing","China",2020-03-09 01:53:01,40.1824,116.4142,428,8,315,105,"Beijing, China"
"03-09-2020",NA,NA,NA,"Switzerland",2020-03-09 11:33:10,46.8182,8.2275,374,2,3,369,"Switzerland"
"03-09-2020",NA,NA,"Shanghai","China",2020-03-09 04:03:11,31.202,121.4491,342,3,315,24,"Shanghai, China"
