"Date_Published","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key"
"03-07-2020",NA,NA,"Hubei","China",2020-03-07 11:13:04,30.9756,112.2707,67666,2959,43500,21207,"Hubei, China"
"03-07-2020",NA,NA,NA,"South Korea",2020-03-07 10:13:22,35.907757,127.766922,7041,44,135,6862,"South Korea"
"03-07-2020",NA,NA,NA,"Italy",2020-03-07 17:33:03,41.87194,12.56738,5883,233,589,5061,"Italy"
"03-07-2020",NA,NA,NA,"Iran",2020-03-07 17:43:05,32.427908,53.688046,5823,145,1669,4009,"Iran"
"03-07-2020",NA,NA,"Guangdong","China",2020-03-07 10:43:02,23.3417,113.4244,1352,7,1237,108,"Guangdong, China"
"03-07-2020",NA,NA,"Henan","China",2020-03-07 11:23:10,33.882,113.614,1272,22,1244,6,"Henan, China"
"03-07-2020",NA,NA,"Zhejiang","China",2020-03-07 09:03:05,29.1832,120.0934,1215,1,1154,60,"Zhejiang, China"
"03-07-2020",NA,NA,"Hunan","China",2020-03-07 09:03:05,27.6104,111.7088,1018,4,960,54,"Hunan, China"
"03-07-2020",NA,NA,"Anhui","China",2020-03-06 03:23:06,31.8257,117.2264,990,6,979,5,"Anhui, China"
"03-07-2020",NA,NA,NA,"France",2020-03-07 20:33:02,46.2276,2.2137,949,11,12,926,"France"
"03-07-2020",NA,NA,"Jiangxi","China",2020-03-07 01:13:18,27.614,115.7221,935,1,916,18,"Jiangxi, China"
"03-07-2020",NA,NA,NA,"Germany",2020-03-07 17:43:05,51.165691,10.451526,799,0,18,781,"Germany"
"03-07-2020",NA,NA,"Shandong","China",2020-03-07 13:03:05,36.3427,118.1498,758,6,627,125,"Shandong, China"
"03-07-2020",NA,NA,"Diamond Princess cruise ship","Others",2020-03-06 01:29:39,NA,NA,696,6,40,650,"Diamond Princess cruise ship, Others"
"03-07-2020",NA,NA,"Jiangsu","China",2020-03-07 14:53:02,32.9711,119.455,631,0,606,25,"Jiangsu, China"
"03-07-2020",NA,NA,"Chongqing","China",2020-03-07 23:23:02,30.0572,107.874,576,6,526,44,"Chongqing, China"
"03-07-2020",NA,NA,"Sichuan","China",2020-03-07 13:03:05,30.6171,102.7103,539,3,454,82,"Sichuan, China"
"03-07-2020",NA,NA,NA,"Spain",2020-03-07 17:43:05,40.463667,-3.74922,500,10,30,460,"Spain"
"03-07-2020",NA,NA,"Heilongjiang","China",2020-03-07 09:03:05,47.862,127.7615,481,13,403,65,"Heilongjiang, China"
"03-07-2020",NA,NA,NA,"Japan",2020-03-07 17:43:05,36.204824,138.252924,461,6,76,379,"Japan"
"03-07-2020",NA,NA,"Beijing","China",2020-03-07 01:03:05,40.1824,116.4142,426,8,303,115,"Beijing, China"
"03-07-2020",NA,NA,"Shanghai","China",2020-03-07 03:53:03,31.202,121.4491,342,3,313,26,"Shanghai, China"
"03-07-2020",NA,NA,"Hebei","China",2020-03-07 13:03:05,37.8957,114.9042,318,6,307,5,"Hebei, China"
"03-07-2020",NA,NA,"Fujian","China",2020-03-07 13:03:05,26.0789,117.9874,296,1,295,0,"Fujian, China"
"03-07-2020",NA,NA,NA,"Switzerland",2020-03-07 17:43:05,46.8182,8.2275,268,1,3,264,"Switzerland"
"03-07-2020",NA,NA,"Guangxi","China",2020-03-07 14:53:02,23.8298,108.7881,252,2,218,32,"Guangxi, China"
"03-07-2020",NA,NA,"Shaanxi","China",2020-03-06 10:23:03,35.1917,108.8701,245,1,226,18,"Shaanxi, China"
"03-07-2020",NA,NA,NA,"United Kingdom",2020-03-07 17:43:05,55.3781,-3.436,206,2,18,186,"United Kingdom"
"03-07-2020",NA,NA,NA,"Netherlands",2020-03-07 17:43:05,52.1326,5.2913,188,1,0,187,"Netherlands"
"03-07-2020",NA,NA,"Yunnan","China",2020-03-06 03:23:06,24.974,101.487,174,2,170,2,"Yunnan, China"
"03-07-2020",NA,NA,NA,"Belgium",2020-03-07 17:53:03,50.8333,4.469936,169,0,1,168,"Belgium"
"03-07-2020",NA,NA,"Hainan","China",2020-03-05 06:13:10,19.1959,109.7453,168,6,158,4,"Hainan, China"
"03-07-2020",NA,NA,NA,"Sweden",2020-03-07 17:53:03,60.128161,18.643501,161,0,0,161,"Sweden"
"03-07-2020",NA,NA,NA,"Norway",2020-03-07 17:53:03,60.472,8.4689,147,0,0,147,"Norway"
"03-07-2020",NA,NA,"Guizhou","China",2020-03-07 00:43:01,26.8154,106.8748,146,2,115,29,"Guizhou, China"
"03-07-2020",NA,NA,NA,"Singapore",2020-03-07 17:53:03,1.2833,103.8333,138,0,78,60,"Singapore"
"03-07-2020",NA,NA,"Tianjin","China",2020-03-05 03:33:27,39.3054,117.323,136,3,128,5,"Tianjin, China"
"03-07-2020",NA,NA,"Shanxi","China",2020-03-05 14:53:03,37.5777,112.2922,133,0,126,7,"Shanxi, China"
"03-07-2020",NA,NA,"Liaoning","China",2020-03-07 14:53:02,41.2956,122.6085,125,1,107,17,"Liaoning, China"
"03-07-2020",NA,NA,"Gansu","China",2020-03-07 15:03:06,35.7518,104.2861,120,2,87,31,"Gansu, China"
"03-07-2020",NA,NA,"Hong Kong","China",2020-03-07 10:13:22,22.3,114.2,108,2,51,55,"Hong Kong, China"
"03-07-2020",NA,NA,"Jilin","China",2020-03-06 10:23:03,43.6661,126.1923,93,1,90,2,"Jilin, China"
"03-07-2020",NA,NA,NA,"Malaysia",2020-03-07 17:53:03,4.210484,101.975766,93,0,23,70,"Malaysia"
"03-07-2020",NA,NA,NA,"Bahrain",2020-03-07 18:13:26,26.0275,50.55,85,0,4,81,"Bahrain"
"03-07-2020",NA,NA,NA,"Austria",2020-03-07 17:53:03,47.5162,14.5501,79,0,0,79,"Austria"
"03-07-2020",NA,NA,"Xinjiang","China",2020-03-07 09:03:05,41.1129,85.2401,76,3,72,1,"Xinjiang, China"
"03-07-2020",NA,NA,"Inner Mongolia","China",2020-03-07 03:43:01,44.0935,113.9448,75,1,67,7,"Inner Mongolia, China"
"03-07-2020",NA,NA,"Ningxia","China",2020-03-06 12:53:03,37.2692,106.1655,75,0,71,4,"Ningxia, China"
"03-07-2020",NA,"King County","Washington","United States",2020-03-07 20:23:03,NA,NA,71,15,1,55,"King County, Washington, United States"
"03-07-2020",NA,NA,NA,"Kuwait",2020-03-07 18:13:26,29.31166,47.481766,61,0,0,61,"Kuwait"
"03-07-2020",NA,"Westchester County","New York","United States",2020-03-07 18:23:05,NA,NA,57,0,0,57,"Westchester County, New York, United States"
"03-07-2020",NA,NA,NA,"Iraq",2020-03-07 18:13:27,33.223191,43.679291,54,4,0,50,"Iraq"
"03-07-2020",NA,NA,NA,"Iceland",2020-03-07 18:13:27,64.9631,-19.0208,50,0,0,50,"Iceland"
"03-07-2020",NA,NA,NA,"Thailand",2020-03-07 10:13:23,15.870032,100.992541,50,1,31,18,"Thailand"
"03-07-2020",NA,NA,NA,"Greece",2020-03-07 18:13:27,39.0742,21.8243,46,0,0,46,"Greece"
"03-07-2020",NA,NA,NA,"Taiwan",2020-03-06 12:43:03,23.7,121,45,1,12,32,"Taiwan"
"03-07-2020",NA,NA,"Unassigned Location (From Diamond Princess)","United States",2020-03-02 19:53:03,NA,NA,45,0,0,45,"Unassigned Location (From Diamond Princess), United States"
"03-07-2020",NA,NA,NA,"United Arab Emirates",2020-03-07 10:13:22,23.424076,53.847818,45,0,7,38,"United Arab Emirates"
"03-07-2020",NA,NA,NA,"India",2020-03-07 18:13:27,20.593684,78.96288,34,0,3,31,"India"
"03-07-2020",NA,"Santa Clara County","California","United States",2020-03-07 23:43:03,NA,NA,32,0,1,31,"Santa Clara County, California, United States"
"03-07-2020",NA,NA,"New South Wales","Australia",2020-03-07 02:03:30,-33.8688,151.2093,28,1,4,23,"New South Wales, Australia"
"03-07-2020",NA,"Toronto","Ontario","Canada",2020-03-07 03:53:03,NA,NA,27,0,3,24,"Toronto, Ontario, Canada"
"03-07-2020",NA,"Snohomish County","Washington","United States",2020-03-07 20:23:03,NA,NA,27,1,0,26,"Snohomish County, Washington, United States"
"03-07-2020",NA,NA,NA,"Denmark",2020-03-06 13:03:12,56.2639,9.5018,23,0,1,22,"Denmark"
"03-07-2020",NA,NA,NA,"San Marino",2020-03-07 02:13:08,43.9424,12.4578,23,1,0,22,"San Marino"
"03-07-2020",NA,NA,NA,"Lebanon",2020-03-06 20:33:03,33.8547,35.8623,22,0,1,21,"Lebanon"
"03-07-2020",NA,NA,NA,"West Bank and Gaza",2020-03-07 02:23:06,31.9522,35.2332,22,0,0,22,"West Bank and Gaza"
"03-07-2020",NA,NA,"British Columbia","Canada",2020-03-07 03:53:03,53.7267,-127.6476,21,0,4,17,"British Columbia, Canada"
"03-07-2020",NA,NA,NA,"Israel",2020-03-06 20:33:03,31.046051,34.851612,21,0,2,19,"Israel"
"03-07-2020",NA,NA,"Grand Princess Cruise Ship","United States",2020-03-07 01:33:02,NA,NA,21,0,0,21,"Grand Princess Cruise Ship, United States"
"03-07-2020",NA,NA,NA,"Portugal",2020-03-07 18:33:02,39.3999,-8.2245,20,0,0,20,"Portugal"
"03-07-2020",NA,NA,NA,"Czechia",2020-03-07 02:03:29,49.8175,15.473,19,0,0,19,"Czechia"
"03-07-2020",NA,NA,NA,"Ireland",2020-03-06 20:43:03,53.1424,-7.6921,18,0,0,18,"Ireland"
"03-07-2020",NA,NA,"Qinghai","China",2020-02-21 04:43:02,35.7452,95.9956,18,0,18,0,"Qinghai, China"
"03-07-2020",NA,NA,NA,"Vietnam",2020-03-07 10:13:23,14.058324,108.277199,18,0,16,2,"Vietnam"
"03-07-2020",NA,NA,NA,"Algeria",2020-03-06 01:29:39,28.0339,1.6596,17,0,0,17,"Algeria"
"03-07-2020",NA,NA,NA,"Oman",2020-03-05 17:53:02,21.512583,55.923255,16,0,2,14,"Oman"
"03-07-2020",NA,NA,NA,"Egypt",2020-03-06 13:03:13,26.820553,30.802498,15,0,1,14,"Egypt"
"03-07-2020",NA,NA,NA,"Finland",2020-03-06 13:03:12,61.92411,25.748151,15,0,1,14,"Finland"
"03-07-2020","06037","Los Angeles","California","United States",2020-03-07 23:53:03,34.30828379,-118.2282411,14,0,0,14,"Los Angeles, California, United States"
"03-07-2020",NA,NA,"Queensland","Australia",2020-03-05 17:33:06,-27.4698,153.0251,13,0,8,5,"Queensland, Australia"
"03-07-2020",NA,NA,NA,"Brazil",2020-03-06 20:33:03,-14.235,-51.9253,13,0,0,13,"Brazil"
"03-07-2020",NA,NA,NA,"Ecuador",2020-03-05 17:53:02,-1.8312,-78.1834,13,0,0,13,"Ecuador"
"03-07-2020",NA,NA,NA,"Russia",2020-03-06 20:43:03,61.52401,105.318756,13,0,2,11,"Russia"
"03-07-2020",NA,NA,NA,"Croatia",2020-03-07 10:13:23,45.1,15.2,12,0,0,12,"Croatia"
"03-07-2020",NA,NA,"Victoria","Australia",2020-03-07 02:03:30,-37.8136,144.9631,11,0,7,4,"Victoria, Australia"
"03-07-2020",NA,"New York County","New York","United States",2020-03-07 18:23:05,NA,NA,11,0,0,11,"New York County, New York, United States"
"03-07-2020",NA,NA,NA,"Estonia",2020-03-06 13:03:13,58.5953,25.0136,10,0,0,10,"Estonia"
"03-07-2020",NA,NA,"Macau","China",2020-03-06 10:23:03,22.1667,113.55,10,0,10,0,"Macau, China"
"03-07-2020",NA,NA,NA,"Azerbaijan",2020-03-07 02:13:09,40.1431,47.5769,9,0,0,9,"Azerbaijan"
"03-07-2020",NA,NA,NA,"Romania",2020-03-07 10:13:23,45.9432,24.9668,9,0,3,6,"Romania"
"03-07-2020",NA,"San Francisco County","California","United States",2020-03-07 23:53:03,NA,NA,9,0,0,9,"San Francisco County, California, United States"
"03-07-2020",NA,NA,NA,"Argentina",2020-03-07 02:13:09,-38.4161,-63.6167,8,0,0,8,"Argentina"
"03-07-2020",NA,NA,NA,"Qatar",2020-03-04 00:03:15,25.3548,51.1839,8,0,0,8,"Qatar"
"03-07-2020",NA,NA,"South Australia","Australia",2020-03-06 04:23:08,-34.9285,138.6007,7,0,2,5,"South Australia, Australia"
"03-07-2020",NA,NA,NA,"Slovenia",2020-03-06 15:33:03,46.1512,14.9955,7,0,0,7,"Slovenia"
"03-07-2020",NA,NA,NA,"Belarus",2020-03-04 12:43:03,53.7098,27.9534,6,0,0,6,"Belarus"
"03-07-2020",NA,NA,NA,"Mexico",2020-03-06 16:43:04,23.6345,-102.5528,6,0,1,5,"Mexico"
"03-07-2020",NA,NA,NA,"Pakistan",2020-03-06 13:03:12,30.3753,69.3451,6,0,0,6,"Pakistan"
"03-07-2020",NA,NA,NA,"Philippines",2020-03-07 10:13:23,12.879721,121.774017,6,1,1,4,"Philippines"
"03-07-2020",NA,"Cook County","Illinois","United States",2020-03-07 01:53:03,NA,NA,6,0,2,4,"Cook County, Illinois, United States"
"03-07-2020",NA,NA,"French Guiana","France",2020-03-07 03:23:05,3.9339,-53.1258,5,0,0,5,"French Guiana, France"
"03-07-2020",NA,NA,NA,"New Zealand",2020-03-07 02:03:29,-40.9006,174.886,5,0,0,5,"New Zealand"
"03-07-2020",NA,NA,NA,"Poland",2020-03-06 16:43:04,51.9194,19.1451,5,0,0,5,"Poland"
"03-07-2020",NA,NA,NA,"Saudi Arabia",2020-03-05 17:53:03,23.885942,45.079162,5,0,0,5,"Saudi Arabia"
"03-07-2020",NA,"Harris County","Texas","United States",2020-03-07 05:13:03,NA,NA,5,0,0,5,"Harris County, Texas, United States"
"03-07-2020",NA,"Placer County","California","United States",2020-03-06 23:13:07,NA,NA,5,1,0,4,"Placer County, California, United States"
"03-07-2020",NA,"Unassigned Location","Washington","United States",2020-03-06 00:33:03,NA,NA,5,0,0,5,"Unassigned Location, Washington, United States"
"03-07-2020",NA,NA,NA,"Chile",2020-03-05 18:13:04,-35.6751,-71.543,4,0,0,4,"Chile"
"03-07-2020",NA,NA,NA,"Georgia",2020-03-05 13:53:03,42.3154,43.3569,4,0,0,4,"Georgia"
"03-07-2020",NA,NA,NA,"Hungary",2020-03-07 03:53:03,47.1625,19.5033,4,0,0,4,"Hungary"
"03-07-2020",NA,NA,NA,"Indonesia",2020-03-06 12:33:03,-0.7893,113.9213,4,0,0,4,"Indonesia"
"03-07-2020",NA,NA,NA,"Senegal",2020-03-04 20:43:02,14.4974,-14.4524,4,0,0,4,"Senegal"
"03-07-2020",NA,"Bergen County","New Jersey","United States",2020-03-07 02:53:02,NA,NA,4,0,0,4,"Bergen County, New Jersey, United States"
"03-07-2020",NA,"Nassau County","New York","United States",2020-03-07 00:03:28,NA,NA,4,0,0,4,"Nassau County, New York, United States"
"03-07-2020",NA,NA,"Western Australia","Australia",2020-03-05 17:13:35,-31.9505,115.8605,3,1,0,2,"Western Australia, Australia"
"03-07-2020",NA,NA,NA,"Bosnia and Herzegovina",2020-03-07 02:13:09,43.9159,17.6791,3,0,0,3,"Bosnia and Herzegovina"
"03-07-2020",NA,"Montreal","Quebec","Canada",2020-03-07 02:23:08,NA,NA,3,0,0,3,"Montreal, Quebec, Canada"
"03-07-2020",NA,NA,NA,"Malta",2020-03-07 20:43:03,35.9375,14.3754,3,0,0,3,"Malta"
"03-07-2020",NA,NA,NA,"North Macedonia",2020-03-06 20:23:11,41.6086,21.7453,3,0,0,3,"North Macedonia"
"03-07-2020",NA,NA,"Saint Barthelemy","France",2020-03-04 02:43:03,17.9,-62.8333,3,0,0,3,"Saint Barthelemy, France"
"03-07-2020",NA,"Contra Costa County","California","United States",2020-03-06 19:43:02,NA,NA,3,0,0,3,"Contra Costa County, California, United States"
"03-07-2020",NA,"Douglas County","Colorado","United States",2020-03-07 01:53:03,NA,NA,3,0,0,3,"Douglas County, Colorado, United States"
"03-07-2020",NA,"Fort Bend County","Texas","United States",2020-03-07 02:03:30,NA,NA,3,0,0,3,"Fort Bend County, Texas, United States"
"03-07-2020",NA,"Fulton County","Georgia","United States",2020-03-07 16:53:03,NA,NA,3,0,0,3,"Fulton County, Georgia, United States"
"03-07-2020",NA,"Maricopa County","Arizona","United States",2020-03-07 19:53:02,NA,NA,3,0,1,2,"Maricopa County, Arizona, United States"
"03-07-2020",NA,"Montgomery County","Maryland","United States",2020-03-06 04:03:17,NA,NA,3,0,0,3,"Montgomery County, Maryland, United States"
"03-07-2020",NA,"Orange County","California","United States",2020-03-04 02:13:11,NA,NA,3,0,0,3,"Orange County, California, United States"
"03-07-2020",NA,"Providence County","Rhode Island","United States",2020-03-07 02:23:08,NA,NA,3,0,0,3,"Providence County, Rhode Island, United States"
"03-07-2020",NA,"San Diego County","California","United States",2020-03-05 20:33:03,NA,NA,3,0,1,2,"San Diego County, California, United States"
"03-07-2020",NA,"Suffolk County","Massachusetts","United States",2020-03-06 18:33:03,NA,NA,3,0,1,2,"Suffolk County, Massachusetts, United States"
"03-07-2020",NA,"Washington County","Oregon","United States",2020-03-07 20:13:14,NA,NA,3,0,0,3,"Washington County, Oregon, United States"
"03-07-2020",NA,NA,NA,"Dominican Republic",2020-03-06 15:33:03,18.7357,-70.1627,2,0,0,2,"Dominican Republic"
"03-07-2020",NA,NA,NA,"Luxembourg",2020-03-06 01:29:39,49.8153,6.1296,2,0,0,2,"Luxembourg"
"03-07-2020",NA,NA,"Martinique","France",2020-03-07 03:23:05,14.6415,-61.0242,2,0,0,2,"Martinique, France"
"03-07-2020",NA,NA,NA,"Morocco",2020-03-05 13:53:03,31.7917,-7.0926,2,0,0,2,"Morocco"
"03-07-2020",NA,"Norfolk County","Massachusetts","United States",2020-03-06 18:33:03,NA,NA,2,0,0,2,"Norfolk County, Massachusetts, United States"
"03-07-2020",NA,"Alameda County","California","United States",2020-03-07 13:13:14,NA,NA,2,0,0,2,"Alameda County, California, United States"
"03-07-2020",NA,"Broward County","Florida","United States",2020-03-07 04:43:02,NA,NA,2,0,0,2,"Broward County, Florida, United States"
"03-07-2020",NA,"Denver County","Colorado","United States",2020-03-06 23:33:02,NA,NA,2,0,0,2,"Denver County, Colorado, United States"
"03-07-2020",NA,"Fairfield County","Connecticut","United States",2020-03-07 20:13:14,NA,NA,2,0,0,2,"Fairfield County, Connecticut, United States"
"03-07-2020",NA,"Floyd County","Georgia","United States",2020-03-07 16:53:03,NA,NA,2,0,0,2,"Floyd County, Georgia, United States"
"03-07-2020",NA,"Grafton County","New Hampshire","United States",2020-03-03 23:33:03,NA,NA,2,0,0,2,"Grafton County, New Hampshire, United States"
"03-07-2020","12057","Hillsborough","Florida","United States",2020-03-03 18:33:02,27.9276559,-82.32013172,2,0,0,2,"Hillsborough, Florida, United States"
"03-07-2020",NA,"Lee County","Florida","United States",2020-03-07 16:43:02,NA,NA,2,0,0,2,"Lee County, Florida, United States"
"03-07-2020",NA,"Pinal County","Arizona","United States",2020-03-07 17:13:23,NA,NA,2,0,0,2,"Pinal County, Arizona, United States"
"03-07-2020",NA,"Rockland County","New York","United States",2020-03-07 16:43:02,NA,NA,2,0,0,2,"Rockland County, New York, United States"
"03-07-2020",NA,"Sacramento County","California","United States",2020-02-27 20:33:02,NA,NA,2,0,0,2,"Sacramento County, California, United States"
"03-07-2020","06069","San Benito","California","United States",2020-02-03 03:53:02,36.60308176,-121.069975,2,0,0,2,"San Benito, California, United States"
"03-07-2020","06081","San Mateo","California","United States",2020-03-03 00:43:02,37.4228808,-122.3275546,2,0,0,2,"San Mateo, California, United States"
"03-07-2020",NA,"Saratoga County","New York","United States",2020-03-07 18:23:05,NA,NA,2,0,0,2,"Saratoga County, New York, United States"
"03-07-2020",NA,"Summit County","Colorado","United States",2020-03-06 01:29:39,NA,NA,2,0,0,2,"Summit County, Colorado, United States"
"03-07-2020",NA,NA,NA,"Afghanistan",2020-02-24 23:33:02,33.93911,67.709953,1,0,0,1,"Afghanistan"
"03-07-2020",NA,NA,NA,"Andorra",2020-03-02 20:23:16,42.5063,1.5218,1,0,0,1,"Andorra"
"03-07-2020",NA,NA,NA,"Armenia",2020-03-01 19:53:02,40.0691,45.0382,1,0,0,1,"Armenia"
"03-07-2020",NA,NA,"Tasmania","Australia",2020-03-02 20:53:02,-42.8821,147.3272,1,0,0,1,"Tasmania, Australia"
"03-07-2020",NA,NA,NA,"Bhutan",2020-03-06 15:43:02,27.5142,90.4336,1,0,0,1,"Bhutan"
"03-07-2020",NA,NA,NA,"Cambodia",2020-02-12 07:43:02,11.55,104.9167,1,0,1,0,"Cambodia"
"03-07-2020",NA,NA,NA,"Cameroon",2020-03-06 15:43:02,3.848,11.5021,1,0,0,1,"Cameroon"
"03-07-2020",NA,"Calgary","Alberta","Canada",2020-03-06 13:13:34,NA,NA,1,0,0,1,"Calgary, Alberta, Canada"
"03-07-2020",NA,"Edmonton","Alberta","Canada",2020-03-07 02:23:08,NA,NA,1,0,0,1,"Edmonton, Alberta, Canada"
"03-07-2020",NA,"London","Ontario","Canada",2020-02-12 18:53:03,NA,NA,1,0,1,0,"London, Ontario, Canada"
"03-07-2020",NA,NA,NA,"Colombia",2020-03-07 00:43:02,4.5709,-74.2973,1,0,0,1,"Colombia"
"03-07-2020",NA,NA,NA,"Costa Rica",2020-03-07 00:43:02,9.7489,-83.7534,1,0,0,1,"Costa Rica"
"03-07-2020",NA,NA,"Faroe Islands","Denmark",2020-03-04 12:53:03,61.8926,-6.9118,1,0,0,1,"Faroe Islands, Denmark"
"03-07-2020",NA,NA,"Gibraltar","United Kingdom",2020-03-04 13:03:13,36.1408,-5.3536,1,0,0,1,"Gibraltar, United Kingdom"
"03-07-2020",NA,NA,NA,"Jordan",2020-03-03 15:33:02,31.24,36.51,1,0,0,1,"Jordan"
"03-07-2020",NA,NA,NA,"Latvia",2020-03-04 01:33:07,56.8796,24.6032,1,0,0,1,"Latvia"
"03-07-2020",NA,NA,NA,"Liechtenstein",2020-03-04 01:33:07,47.14,9.55,1,0,0,1,"Liechtenstein"
"03-07-2020",NA,NA,NA,"Lithuania",2020-02-28 16:23:03,55.1694,23.8813,1,0,0,1,"Lithuania"
"03-07-2020",NA,NA,"Tibet","China",2020-02-12 06:43:02,31.6927,88.0924,1,0,1,0,"Tibet, China"
"03-07-2020",NA,NA,NA,"Monaco",2020-02-29 00:33:01,43.7333,7.4167,1,0,0,1,"Monaco"
"03-07-2020",NA,NA,NA,"Nepal",2020-02-12 14:43:03,28.1667,84.25,1,0,1,0,"Nepal"
"03-07-2020",NA,NA,NA,"Nigeria",2020-02-28 16:23:03,9.082,8.6753,1,0,0,1,"Nigeria"
"03-07-2020",NA,NA,NA,"Peru",2020-03-06 15:43:02,-9.19,-75.0152,1,0,0,1,"Peru"
"03-07-2020",NA,NA,NA,"Serbia",2020-03-06 15:43:02,44.0165,21.0059,1,0,0,1,"Serbia"
"03-07-2020",NA,NA,NA,"Slovakia",2020-03-06 13:03:14,48.669,19.699,1,0,0,1,"Slovakia"
"03-07-2020",NA,NA,NA,"South Africa",2020-03-06 15:43:02,-30.5595,22.9375,1,0,0,1,"South Africa"
"03-07-2020",NA,NA,NA,"Sri Lanka",2020-02-08 03:43:03,7.873054,80.771797,1,0,1,0,"Sri Lanka"
"03-07-2020",NA,NA,NA,"Togo",2020-03-07 02:13:09,8.6195,0.8248,1,0,0,1,"Togo"
"03-07-2020",NA,NA,NA,"Tunisia",2020-03-04 01:33:07,33.886917,9.537499,1,0,0,1,"Tunisia"
"03-07-2020",NA,"Charleston County","South Carolina","United States",2020-03-07 01:53:03,NA,NA,1,0,0,1,"Charleston County, South Carolina, United States"
"03-07-2020",NA,"Chatham County","North Carolina","United States",2020-03-06 16:13:15,NA,NA,1,0,0,1,"Chatham County, North Carolina, United States"
"03-07-2020",NA,"Clark County","Nevada","United States",2020-03-05 20:53:03,NA,NA,1,0,0,1,"Clark County, Nevada, United States"
